City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Havelock,US,77.95,clear sky,34.8791,-76.9013,Sherwood Motel
2,Mount Isa,AU,80.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
16,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
17,Butaritari,KI,82.4,light rain,3.0707,172.7902,Isles Sunset Lodge
19,Pattani,TH,87.22,moderate rain,6.75,100.4167,Tobias Kleeberg
20,Antalaha,MG,76.1,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
21,Hilo,US,76.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Korla,CN,83.34,few clouds,41.7597,86.1469,Gulisitan Hotel
30,Hiroshima,JP,82.44,overcast clouds,34.3963,132.4594,Oriental Hotel Hiroshima
34,Teknaf,BD,82.76,overcast clouds,20.8624,92.3058,Forestry Guesthouse
35,Sur,OM,89.65,clear sky,22.5667,59.5289,Sur Plaza Hotel
39,Rikitea,PF,76.44,light rain,-23.1203,-134.9692,Pension Maro'i
45,Bambous Virieux,MU,77.22,light rain,-20.3428,57.7575,Casa Tia Villa
46,Bubaque,GW,79.27,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
47,Makakilo City,US,80.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
52,Salalah,OM,84.29,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
56,Oriximina,BR,76.78,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
57,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
67,Aquiraz,BR,78.89,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
68,Iracoubo,GF,76.23,overcast clouds,5.4802,-53.2011,Le Gite D Iracoubo
72,Allen,US,75.31,few clouds,41.0706,-85.0144,"Holiday Inn Express Fort Wayne-East (New Haven), an IHG Hotel"
79,Lumphat,KH,84.0,moderate rain,13.4878,106.9816,Lumphat Homestay
81,Victoria,HK,89.96,broken clouds,22.2855,114.1577,Mini Hotel Central
84,Bengkulu,ID,83.79,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
