City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Vaini,TO,-21.2,-175.2,71.76,100,90,5.75,light rain,2021-06-07 04:46:38
1,Havelock,US,34.8791,-76.9013,77.95,92,1,1.99,clear sky,2021-06-07 04:46:39
2,Mount Isa,AU,-20.7333,139.5,80.37,26,0,8.05,clear sky,2021-06-07 04:37:54
3,Santa Maria Da Boa Vista,BR,-8.8078,-39.8256,69.91,80,90,11.01,overcast clouds,2021-06-07 04:37:55
4,Busselton,AU,-33.65,115.3333,61.05,56,60,9.15,broken clouds,2021-06-07 04:37:55
5,Puerto Ayora,EC,-0.7393,-90.3518,71.55,98,30,1.01,scattered clouds,2021-06-07 04:46:39
6,Saldanha,ZA,-33.0117,17.9442,68.05,38,16,27.85,few clouds,2021-06-07 04:46:40
7,Akureyri,IS,65.6835,-18.0878,44.53,76,0,3.44,clear sky,2021-06-07 04:46:40
8,Henties Bay,NA,-22.116,14.2845,66.87,49,0,9.89,clear sky,2021-06-07 04:46:40
9,Qaanaaq,GL,77.484,-69.3632,38.16,72,36,5.99,scattered clouds,2021-06-07 04:46:41
10,Hermanus,ZA,-34.4187,19.2345,58.8,49,3,12.66,clear sky,2021-06-07 04:46:41
11,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,9.48,clear sky,2021-06-07 04:46:41
12,Albany,US,42.6001,-73.9662,70.99,80,13,3.65,few clouds,2021-06-07 04:46:42
13,Langham,CA,52.3668,-106.9679,56.01,65,92,3.58,overcast clouds,2021-06-07 04:46:42
14,Mataura,NZ,-46.1927,168.8643,49.48,87,0,2.73,clear sky,2021-06-07 04:46:42
15,Bagotville,AU,-28.9833,153.4167,69.82,60,32,3.65,scattered clouds,2021-06-07 04:46:43
16,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,25.32,few clouds,2021-06-07 04:44:41
17,Butaritari,KI,3.0707,172.7902,82.4,73,27,7.92,light rain,2021-06-07 04:46:43
18,Nuuk,GL,64.1835,-51.7216,39.81,93,90,2.3,light rain,2021-06-07 04:46:44
19,Pattani,TH,6.75,100.4167,87.22,57,100,6.08,moderate rain,2021-06-07 04:46:44
20,Antalaha,MG,-14.9003,50.2788,76.1,72,40,12.53,scattered clouds,2021-06-07 04:46:44
21,Hilo,US,19.7297,-155.09,76.28,79,90,4.61,overcast clouds,2021-06-07 04:45:11
22,Nikel,RU,69.4128,30.222,44.78,52,7,4.09,clear sky,2021-06-07 04:46:45
23,Saskylakh,RU,71.9167,114.0833,45.95,40,97,6.67,overcast clouds,2021-06-07 04:46:45
24,Gamba,GA,-2.65,10.0,74.3,96,99,4.47,overcast clouds,2021-06-07 04:46:45
25,Kysyl-Syr,RU,63.8986,122.7617,60.01,28,75,15.77,broken clouds,2021-06-07 04:46:45
26,Ushuaia,AR,-54.8,-68.3,44.26,61,40,0.0,scattered clouds,2021-06-07 04:43:11
27,Port-Cartier,CA,50.0334,-66.8654,46.74,77,95,6.02,overcast clouds,2021-06-07 04:46:46
28,Korla,CN,41.7597,86.1469,83.34,23,24,2.35,few clouds,2021-06-07 04:46:46
29,Tasiilaq,GL,65.6145,-37.6368,42.96,89,98,2.57,overcast clouds,2021-06-07 04:46:46
30,Hiroshima,JP,34.3963,132.4594,82.44,65,100,4.41,overcast clouds,2021-06-07 04:43:14
