City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jamestown,42.097,-79.2353,74.84,64,1,8.05,US,2021-06-07 01:34:21
1,Sangmelima,2.9333,11.9833,66.6,99,100,2.01,CM,2021-06-07 01:38:05
2,Mataura,-46.1927,168.8643,49.48,63,0,3.78,NZ,2021-06-07 01:38:05
3,Bhadasar,28.2833,74.3167,92.79,35,0,18.72,IN,2021-06-07 01:38:06
4,Rikitea,-23.1203,-134.9692,76.39,85,100,16.15,PF,2021-06-07 01:38:06
5,Manakara,-22.1333,48.0167,66.81,81,100,9.19,MG,2021-06-07 01:38:06
6,Hilo,19.7297,-155.09,83.28,73,90,13.8,US,2021-06-07 01:37:49
7,Corinto,37.9407,22.9573,73.69,69,35,6.02,GR,2021-06-07 01:38:07
8,Tamandare,-8.7597,-35.1047,75.11,86,20,6.33,BR,2021-06-07 01:38:07
9,Busselton,-33.65,115.3333,58.1,61,21,8.61,AU,2021-06-07 01:38:07
10,Georgetown,5.4112,100.3354,84.13,86,20,1.01,MY,2021-06-07 01:35:07
11,Broken Hill,-31.95,141.4333,58.71,47,60,16.11,AU,2021-06-07 01:38:09
12,Ushuaia,-54.8,-68.3,42.46,65,40,20.71,AR,2021-06-07 01:37:21
13,Mar Del Plata,-38.0023,-57.5575,54.12,72,80,1.01,AR,2021-06-07 01:38:09
14,Ariquemes,-9.9133,-63.0408,77.43,80,100,0.49,BR,2021-06-07 01:35:32
15,Barrow,71.2906,-156.7887,32.02,86,90,14.97,US,2021-06-07 01:38:10
16,Punta Arenas,-53.15,-70.9167,35.71,87,0,10.02,CL,2021-06-07 01:38:10
17,Vaini,-21.2,-175.2,77.16,83,75,10.36,TO,2021-06-07 01:38:10
18,Albany,42.6001,-73.9662,76.87,70,25,2.84,US,2021-06-07 01:35:13
19,Port Alfred,-33.5906,26.891,62.47,36,0,9.46,ZA,2021-06-07 01:38:11
20,Hobart,-42.8794,147.3294,62.92,52,75,5.01,AU,2021-06-07 01:38:11
21,Manado,1.487,124.8455,86.77,74,40,2.08,ID,2021-06-07 01:38:11
22,Laguna,38.421,-121.4238,91.45,31,1,7.0,US,2021-06-07 01:37:40
23,Cherskiy,68.75,161.3,70.21,33,80,20.4,RU,2021-06-07 01:38:12
24,Cabo San Lucas,22.8909,-109.9124,96.8,40,1,0.0,MX,2021-06-07 01:37:02
25,Arraial Do Cabo,-22.9661,-42.0278,72.68,88,40,12.93,BR,2021-06-07 01:38:12
26,Atuona,-9.8,-139.0333,80.49,63,13,8.08,PF,2021-06-07 01:38:13
27,Bredasdorp,-34.5322,20.0403,56.52,47,6,8.41,ZA,2021-06-07 01:38:13
28,Vogar,63.9832,-22.3874,47.62,93,75,9.8,IS,2021-06-07 01:38:13
29,Port Lincoln,-34.7333,135.8667,64.47,57,13,27.45,AU,2021-06-07 01:38:14
30,Khatanga,71.9667,102.5,36.86,71,97,10.04,RU,2021-06-07 01:38:14
31,Weihe,32.9952,105.3247,77.79,48,100,1.01,CN,2021-06-07 01:38:14
32,Kuala Selangor,3.35,101.25,80.8,70,100,2.77,MY,2021-06-07 01:38:15
33,Kodiak,57.79,-152.4072,65.71,32,1,13.8,US,2021-06-07 01:33:16
34,Novyy Kostek,43.3353,46.8247,61.43,88,100,13.06,RU,2021-06-07 01:38:15
35,Evensk,61.95,159.2333,49.37,73,51,8.55,RU,2021-06-07 01:38:16
36,Namibe,-15.1961,12.1522,75.27,43,1,9.86,AO,2021-06-07 01:38:16
